cpg_id,SCLL-545,SCLL-546,SCLL-547,SCLL-548,SCLL-493,SCLL-494,SCLL-531,SCLL-532,SCLL-533
cg16342298,0.517536848,0.527379418,0.535130543,0.666028621,0.86051499,0.922864437,0.929410253,0.909267581,0.832981648
cg16526047,0.416115544,0.43181138,0.463785346,0.343518887,0.706548471,0.711643887,0.724245283,0.692556114,0.701671717
cg16585234,0.47568405,0.466611385,0.496864441,0.455609693,0.541766226,0.523227988,0.507168812,0.513887586,0.532804771
cg17083209,0.63128387,0.588132288,0.606859045,0.666463425,0.511834665,0.603847577,0.644913659,0.825686982,0.882862812
cg17108141,0.064119941,0.076251609,0.099674399,0.047954549,0.565356536,0.601643853,0.60050116,0.157847935,0.569835551
cg17132079,0.438662979,0.519125394,0.516088822,0.365204151,0.492667682,0.426665139,0.484951648,0.451371791,0.793838406
cg17178900,0.439982347,0.455869005,0.497608778,0.488920698,0.494162487,0.525232432,0.540887242,0.463817723,0.497697741
cg17428085,0.15847905,0.226605121,0.234785653,0.168388313,0.512075672,0.472549982,0.493149662,0.430299236,0.080005129
cg17434008,0.571846362,0.499553872,0.52153536,0.381384368,0.746833256,0.751934296,0.787031601,0.781712351,0.751984015
cg17742781,0.386438644,0.379698679,0.414816971,0.234601665,0.487035495,0.493684712,0.443451369,0.394315246,0.440885651
cg17935233,0.814309396,0.774648187,0.771447447,0.765409004,0.267626511,0.201632275,0.165088821,0.243496049,0.526565156
cg18086868,0.880393022,0.889894782,0.899790923,0.914485849,0.267470225,0.12080128,0.093410984,0.107556268,0.117237877
cg18143535,0.210656034,0.37310944,0.427615061,0.599547713,0.513567188,0.556479948,0.634602624,0.543431767,0.585846594
cg18174678,0.048076062,0.082807327,0.088439371,0.072574491,0.531423808,0.561231518,0.591133787,0.577010057,0.559112122
cg18224942,0.27798237,0.300475915,0.339715206,0.21652046,0.323141772,0.254212509,0.188850067,0.261501947,0.173874548
cg18438591,0.152083557,0.235133388,0.275487906,0.169758564,0.868613049,0.87578143,0.945208638,0.88624436,0.909134674
cg18931815,0.456231537,0.484052221,0.512791299,0.685296117,0.816413176,0.876429767,0.907538695,0.87573528,0.532760194
cg19321979,0.099062356,0.304503042,0.3566034,0.194979008,0.601553992,0.537467073,0.556766151,0.525325605,0.559814262
cg19633205,0.749223794,0.89054746,0.9061036,0.471228334,0.222806886,0.08601562,0.082259571,0.556603125,0.605336584
cg20312132,0.504441028,0.420161282,0.44223338,0.306795075,0.576190809,0.548833792,0.541709538,0.526430828,0.485892618
cg20433858,0.135266946,0.210123826,0.233473889,0.119568121,0.541678076,0.506601437,0.51050124,0.527682502,0.517257023
cg20704450,0.288977185,0.223465005,0.252427386,0.167911283,0.512992087,0.489430087,0.486512211,0.4791738,0.452571136
cg21151355,0.517356991,0.523988426,0.528831738,0.32630722,0.547073793,0.578784883,0.540221732,0.555106329,0.806237444
cg21397540,0.28407795,0.385328621,0.413668041,0.476034761,0.497820923,0.510651005,0.469706281,0.510811077,0.523918288
cg21691116,0.604646791,0.492717081,0.504020341,0.529642166,0.270091883,0.19833357,0.169678371,0.118239317,0.047802218
cg22077361,0.912986244,0.906880904,0.878147824,0.848367893,0.868048513,0.907311685,0.930039947,0.923566959,0.786197311
cg22345063,0.403087356,0.372917636,0.388941602,0.258453743,0.759432588,0.804444348,0.848092885,0.811092543,0.527918044
cg22374525,0.897548263,0.888902348,0.872337329,0.664926017,0.258662145,0.212805175,0.130438428,0.434807257,0.135421495
cg22697853,0.641975105,0.611330238,0.587955022,0.507433312,0.629751946,0.5974723,0.604440044,0.593982075,0.571884863
cg22698629,0.483022261,0.526272465,0.541463618,0.655061151,0.436662516,0.470199387,0.469715329,0.471363416,0.469407628
cg22941637,0.805710381,0.665188047,0.658737388,0.444114564,0.785648773,0.791159346,0.852323592,0.778540304,0.299546089
cg23288755,0.868389262,0.82809645,0.785607116,0.674938364,0.556451673,0.523447123,0.598397822,0.543968193,0.613380371
cg23615892,0.624101447,0.576459336,0.653822415,0.606545902,0.85471139,0.886436923,0.895139542,0.553920984,0.490610037
cg23627354,0.062374867,0.146293195,0.156440532,0.094445623,0.25497387,0.165167933,0.068597615,0.123984238,0.323563474
cg23640929,0.90127423,0.620306708,0.613419269,0.67898584,0.507446111,0.504933475,0.519692924,0.489736117,0.127689575
cg23656015,0.935733231,0.875831415,0.866154475,0.861177187,0.709714399,0.705323299,0.910829985,0.528737404,0.857012784
cg24049468,0.582333989,0.517698571,0.557929854,0.642889288,0.555458647,0.593032265,0.565778971,0.657783679,0.127834368
cg24058386,0.09398722,0.19805549,0.226472855,0.154870181,0.495716188,0.473761451,0.544745433,0.519811899,0.586164696
cg24329783,0.624930874,0.590584299,0.625451234,0.541354712,0.551864398,0.494375244,0.542012614,0.518956769,0.537331897
cg24509168,0.255834071,0.267386841,0.291718804,0.433267073,0.500907041,0.470869113,0.592385324,0.547019964,0.616235864
cg24557048,0.806880282,0.791634926,0.74070222,0.38058657,0.748707251,0.900695369,0.933294135,0.904077792,0.791533087
cg24598973,0.524983303,0.568401791,0.613248059,0.455258026,0.418121421,0.262199161,0.251132532,0.313099909,0.272248605
cg24724587,0.107669233,0.346224224,0.371399445,0.460943352,0.258673273,0.16318238,0.083462105,0.125785024,0.113801256
cg24730688,0.771432036,0.815521187,0.809532028,0.736783101,0.293240271,0.178331675,0.108721637,0.149065253,0.092212619
cg24792360,0.71618856,0.681404124,0.682128462,0.731450243,0.336602102,0.250102324,0.218792039,0.268949645,0.180006894
cg24860534,0.886023587,0.851566554,0.786032167,0.878008914,0.501811439,0.511622412,0.560341089,0.684328328,0.577720733
cg24876897,0.791990519,0.747681691,0.744587897,0.524370256,0.485487603,0.435225951,0.46434729,0.490790718,0.486211205
cg25189904,0.552779394,0.542929563,0.550959079,0.329520902,0.603962366,0.641739152,0.580155217,0.542253668,0.948928719
cg25593625,0.455564632,0.481589039,0.475710363,0.252309495,0.503466604,0.471627359,0.493990932,0.448501361,0.511651238
cg26013992,0.719713277,0.629539777,0.622329978,0.318862758,0.58800945,0.529827472,0.592078044,0.670366558,0.944336646
cg26050734,0.800019393,0.835207316,0.792622693,0.802252596,0.575907296,0.526460965,0.503232266,0.480293278,0.525986651
cg26220594,0.06481264,0.115280115,0.13164971,0.562411575,0.313068024,0.312890857,0.368086012,0.351083618,0.418862469
cg26354017,0.486907611,0.523314251,0.525375013,0.522365827,0.558230168,0.560450882,0.516495199,0.539130633,0.508474941
cg26523099,0.161398865,0.430342243,0.443615813,0.564359803,0.546580328,0.560377333,0.553054293,0.558685161,0.543836124
cg26536593,0.563389938,0.559391647,0.667393121,0.593901874,0.593853416,0.576468626,0.677031152,0.638201606,0.707784825
cg26537280,0.377564457,0.40193474,0.410967971,0.652536437,0.415283422,0.314612386,0.382819579,0.421149306,0.4354719
cg26863172,0.88711895,0.887855829,0.884744365,0.736761818,0.916222331,0.928968743,0.969439004,0.922064355,0.928347535
cg00058515,0.120385643,0.198135895,0.148821217,0.107622044,0.554612646,0.512523772,0.682553758,0.710052183,0.575998273
cg00280895,0.88770294,0.862101927,0.850663481,0.766851171,0.206769366,0.130489731,0.067572414,0.100698135,0.072546369
cg00680696,0.468851814,0.518348587,0.530039395,0.243233351,0.806625449,0.864659568,0.928654634,0.851277069,0.84781479
cg00899350,0.784303587,0.765786187,0.766078133,0.656979548,0.554897474,0.512042545,0.511491096,0.481777047,0.514553305
cg00956987,0.473235948,0.390057511,0.383347029,0.184591525,0.189797161,0.11012128,0.056531766,0.089149188,0.048514641
cg01217071,0.067106344,0.094117119,0.146851113,0.060976587,0.182142628,0.089753489,0.048481508,0.086292427,0.050826621
cg01583753,0.338804795,0.381662994,0.399445559,0.372884549,0.812334831,0.83095361,0.894906654,0.867515538,0.838772802
cg01621716,0.859948384,0.672937324,0.660619354,0.775311957,0.292832979,0.263880296,0.272620789,0.264219016,0.521200433
cg01898867,0.63163407,0.329074503,0.365448748,0.578002062,0.2633667,0.145576414,0.068543338,0.100976104,0.048738178
cg01931792,0.882096553,0.848813648,0.814065148,0.842035453,0.809947094,0.835122673,0.918680321,0.831949166,0.48609488
cg02716646,0.154856561,0.307461967,0.384002394,0.207092491,0.310441385,0.196264743,0.069307744,0.198471128,0.042388486
cg03350299,0.471600318,0.48858528,0.483111775,0.478970765,0.538862575,0.486687885,0.514563402,0.495568204,0.533717883
cg03429644,0.585961165,0.579142195,0.598775981,0.607126483,0.742157366,0.835840998,0.897444358,0.871286502,0.614764327
cg03727500,0.45052027,0.495107943,0.514658563,0.532840303,0.344794469,0.258426528,0.104501851,0.161192443,0.062393852
cg03813688,0.229994242,0.216572423,0.22212614,0.36927584,0.516213337,0.489840283,0.530446534,0.644213706,0.519812928
cg03817727,0.447056689,0.633891792,0.644496003,0.46927198,0.832678332,0.859248334,0.923237451,0.875236381,0.493063225
cg04082016,0.11900425,0.176369032,0.185299735,0.148692943,0.534465915,0.524138147,0.547282435,0.529883913,0.569485982
cg04131969,0.022418988,0.028332283,0.02255611,0.025539002,0.916831021,0.93826963,0.932847529,0.937343786,0.924377444
cg05353292,0.204146088,0.185668192,0.215790008,0.163159581,0.59641219,0.693984236,0.616314176,0.63888662,0.63869003
cg05414442,0.440441294,0.451544665,0.477162164,0.282141948,0.681643971,0.736449872,0.811930393,0.720452817,0.777386761
cg05723825,0.423613449,0.544532934,0.600483501,0.468812056,0.320069822,0.25875686,0.197438101,0.255223154,0.219822392
cg05868531,0.486584237,0.524544893,0.51186705,0.514745266,0.226899711,0.138925417,0.018543489,0.088212925,0.012993345
cg06383022,0.403382078,0.420967786,0.438129558,0.550826751,0.650023907,0.609330748,0.631269944,0.610499821,0.597620772
cg08201735,0.573330589,0.468506322,0.468752009,0.323134381,0.589787378,0.525844303,0.536970462,0.533741571,0.561392994
cg08719380,0.490353334,0.556457873,0.550932098,0.279273403,0.797199301,0.8441841,0.887038648,0.851983303,0.826516287
cg08965143,0.593463618,0.600370436,0.607870391,0.591215448,0.218024423,0.0641407,0.070972579,0.129643818,0.073018218
cg10588622,0.658794255,0.673201778,0.712852615,0.900728014,0.461701139,0.444297772,0.496847811,0.464765689,0.533934679
cg10634136,0.449995905,0.490549809,0.52284239,0.583511766,0.739045373,0.757481415,0.777850533,0.73335501,0.695780171
cg10883069,0.61584421,0.6108127,0.57049356,0.593505831,0.608212797,0.662647998,0.624715111,0.561842887,0.630335925
cg11559198,0.551972133,0.556626618,0.554689106,0.557268833,0.262590348,0.143877163,0.03195518,0.098225446,0.025178827
cg11942181,0.116493235,0.426080257,0.441597362,0.265836096,0.54003327,0.545804506,0.518925989,0.482868901,0.49931242
cg13716566,0.502751758,0.486717467,0.495045301,0.291759493,0.603063678,0.589786795,0.571483208,0.529969803,0.899486238
cg14157435,0.92912697,0.926084015,0.902752375,0.761524836,0.919005188,0.952778664,0.954931255,0.936054468,0.802922974
cg14223654,0.806242331,0.737741947,0.754125431,0.866212848,0.46572497,0.440401285,0.472450752,0.492079761,0.502976262
cg14339650,0.753512371,0.738115045,0.760968447,0.406478886,0.259107506,0.212518623,0.138759983,0.18377802,0.529342675
cg14758072,0.520856579,0.648652793,0.662894246,0.826925749,0.769467041,0.833463932,0.902892288,0.821012726,0.891226538
cg14853772,0.546588566,0.54154793,0.57050991,0.356702023,0.317309352,0.201737825,0.091619348,0.186880622,0.071096057
cg15161959,0.558971721,0.62107735,0.607567775,0.689568354,0.544872317,0.568253259,0.593430086,0.557607227,0.581184771
cg15371801,0.568979674,0.594085817,0.592461039,0.597729033,0.321837985,0.220643704,0.020863727,0.135300678,0.013667628
cg15742848,0.068304141,0.207953397,0.22878877,0.051032347,0.168800291,0.182986101,0.091261745,0.363438841,0.358584617
cg18887096,0.456461489,0.739646718,0.745513138,0.260336671,0.485155818,0.443368442,0.472940796,0.448627386,0.462340876
cg19075252,0.47395355,0.778355376,0.800509018,0.535996169,0.511906096,0.489303007,0.484896356,0.478129401,0.506651578
cg19584871,0.510200663,0.569916255,0.593666609,0.616667065,0.519394913,0.493382963,0.495163033,0.730169129,0.485165251
cg20097593,0.50776326,0.640918812,0.629229743,0.41232338,0.754681212,0.789656007,0.929337224,0.882480589,0.914843887
cg20510474,0.507679213,0.452558632,0.460704364,0.513008696,0.172135966,0.078870893,0.04582513,0.054312896,0.463712577
cg21054919,0.922809962,0.869448549,0.907302643,0.907438543,0.576152664,0.550596868,0.636426459,0.552766366,0.587280006
cg21361856,0.934588027,0.907781915,0.891639855,0.897064059,0.210306215,0.128787465,0.045691117,0.095862196,0.518521026
cg21627775,0.908563971,0.46672196,0.498120013,0.17598276,0.914201788,0.932030782,0.938791837,0.635359261,0.906409294
cg22022881,0.794876933,0.903717457,0.899155233,0.389998388,0.53718697,0.573460303,0.606453509,0.500479429,0.179487798
cg22111694,0.13996937,0.124867303,0.125761907,0.12357791,0.818778637,0.794906056,0.664626345,0.606682756,0.626832868
cg22308949,0.430596236,0.70471794,0.704031924,0.806362754,0.716289488,0.77449703,0.870989957,0.839333358,0.882610536
cg22488717,0.294165975,0.340240765,0.311208517,0.201091871,0.495035273,0.459564733,0.538318842,0.488640157,0.552630832
cg23531340,0.936385915,0.9265952,0.898620031,0.92500774,0.545157032,0.558236702,0.577519114,0.554983102,0.604272614
cg24209528,0.508622139,0.515217235,0.523529012,0.492640002,0.253265204,0.116001578,0.06100587,0.115606035,0.090201715
cg24220031,0.245077474,0.349215918,0.350743128,0.281653011,0.211304398,0.211381963,0.192795681,0.224414918,0.128780987
cg24222817,0.179007219,0.160466498,0.184926622,0.070701157,0.744192802,0.791795334,0.660349449,0.529911109,0.154089097
cg24330386,0.461053311,0.713279504,0.733540759,0.659498543,0.298994662,0.170631965,0.052314792,0.141418633,0.045695628
cg24686644,0.48264765,0.502464865,0.493864553,0.471953682,0.29410276,0.228524379,0.120028765,0.210080757,0.259485531
cg24715680,0.95010622,0.907495255,0.891689187,0.827197692,0.266531365,0.137949653,0.116259811,0.175896895,0.386088397
cg24980657,0.547047527,0.59787982,0.574305326,0.78845407,0.641636934,0.636393741,0.565880044,0.507804723,0.51806027
cg25071744,0.233551772,0.613780184,0.605591895,0.773541564,0.786614627,0.811006941,0.90780025,0.82400171,0.876616094
cg25079915,0.565459714,0.543898286,0.518579339,0.260319534,0.559770175,0.550038876,0.596124579,0.567787866,0.061629983
cg25223285,0.170100217,0.261194427,0.267835466,0.375211542,0.22835843,0.18565648,0.162230554,0.399632454,0.448857781
cg25487775,0.040794535,0.0651132,0.06091463,0.035913004,0.191119018,0.090652653,0.032828783,0.05613691,0.030042249
cg25924274,0.889873187,0.59645479,0.542864402,0.449844619,0.841888581,0.839834819,0.937773176,0.899213778,0.902665346
cg26302230,0.850750011,0.91854114,0.889640282,0.896179877,0.530009239,0.444382544,0.477381872,0.446085889,0.88823757
cg26817877,0.816174104,0.912291691,0.871485582,0.963101274,0.37551511,0.279343833,0.246322345,0.734883348,0.684731374
cg26853787,0.683650139,0.695638206,0.616881158,0.233753726,0.843441873,0.904421512,0.910883732,0.849610207,0.495501789
cg26874229,0.755985292,0.70500652,0.726493656,0.663157546,0.585933918,0.566621361,0.577212474,0.55513864,0.206122155
cg27369013,0.698224364,0.618327713,0.566091566,0.542209437,0.825905795,0.901890652,0.938974074,0.930508199,0.939457903
cg27661104,0.045376176,0.124050912,0.18226871,0.05197939,0.225015651,0.098490914,0.048328325,0.068254346,0.038959496
cg27664689,0.875680181,0.850018914,0.862459097,0.312228143,0.60374774,0.630395675,0.530815393,0.611993597,0.542512141
cg00010946,0.152138245,0.39668606,0.41840451,0.72823977,0.50503447,0.482303585,0.512339011,0.483146783,0.488183602
cg00472710,0.796083209,0.762298626,0.76896249,0.862008471,0.794841937,0.809522426,0.843734574,0.808972895,0.724925982
cg01324343,0.384448559,0.415287578,0.410902799,0.193579373,0.511145369,0.547518314,0.529075288,0.752393468,0.520825851
cg02555923,0.493474201,0.491268771,0.505140586,0.530208673,0.491919949,0.465526927,0.493151212,0.475697787,0.509863731
cg03855994,0.855920394,0.803730441,0.79218023,0.549165185,0.297064182,0.220561879,0.13639616,0.163050634,0.142833197
cg04207166,0.784112804,0.734625859,0.716375374,0.504721189,0.257984911,0.193309929,0.134669144,0.196029276,0.457037273
cg04865442,0.07174876,0.290129618,0.333398014,0.11487701,0.888685199,0.918509578,0.918352402,0.569748408,0.916080005
cg06234584,0.302324153,0.386627624,0.379300638,0.497983218,0.452924444,0.421877006,0.485153583,0.543467524,0.50552579
cg06726820,0.130391929,0.185862299,0.202969899,0.229694498,0.82852336,0.912963179,0.953766793,0.93192639,0.94150301
cg08072716,0.804839847,0.632219988,0.663915231,0.774234019,0.47617113,0.449384871,0.478348125,0.425594954,0.849347374
cg09373148,0.951287172,0.873230893,0.865627213,0.962311083,0.324858574,0.41836459,0.193505445,0.322625159,0.776409099
cg11874323,0.517488937,0.505437437,0.544029939,0.419527482,0.306536807,0.161716785,0.072946107,0.156157881,0.05536953
cg13511885,0.553305497,0.581090412,0.605837208,0.246353781,0.822634284,0.845346537,0.915100861,0.891920693,0.848096159
cg14218447,0.064522379,0.228541862,0.300883367,0.082576823,0.231285677,0.131605342,0.021608489,0.061952043,0.012849867
cg14463292,0.064965619,0.461410021,0.459079979,0.203442677,0.213610352,0.116940712,0.019187818,0.056190139,0.018596397
cg15180789,0.451476653,0.484115559,0.502251471,0.506008698,0.322524584,0.224122035,0.118960655,0.237682489,0.077253218
cg15709065,0.907057211,0.898735605,0.881463568,0.637837162,0.519716165,0.541915313,0.537363691,0.53673874,0.485741544
cg16930811,0.88548727,0.872009978,0.853475153,0.713396544,0.252068162,0.119550195,0.027678859,0.107356568,0.025176152
cg17036624,0.912487069,0.877431903,0.885999184,0.35871663,0.669809851,0.670578122,0.599565123,0.562452664,0.095514738
cg17057719,0.742577118,0.778404898,0.736786038,0.716354483,0.567435021,0.521654648,0.531259401,0.582887904,0.52369096
cg17546649,0.063665151,0.070868086,0.115135603,0.046369597,0.167818864,0.113938218,0.080883829,0.072785333,0.059025307
cg17658717,0.9430395579999999,0.840257989,0.834539397,0.967729191,0.705242792,0.829070699,0.945796736,0.851369423,0.650087456
cg18005180,0.894934674,0.648012713,0.648615569,0.394114597,0.259836098,0.159166441,0.106772339,0.152907339,0.087714767
cg18026197,0.090627164,0.170945879,0.228372528,0.094487678,0.588176514,0.509225967,0.519762538,0.613731043,0.454831636
cg20232291,0.087325312,0.165248143,0.203022668,0.093638224,0.303116667,0.248421424,0.22678364,0.115531632,0.055698092
cg20540428,0.109996318,0.292310809,0.288442897,0.166342262,0.550138765,0.454171433,0.542973027,0.479157587,0.51259752
cg20988073,0.162693046,0.172917954,0.211632742,0.13501741,0.54476283,0.54642144,0.556698619,0.528529008,0.548942565
cg21030598,0.677423526,0.841583686,0.79870481,0.851626842,0.634831247,0.662949532,0.608746128,0.389685729,0.598948218
cg22158068,0.912325399,0.844829147,0.856927769,0.613278849,0.273068068,0.232875201,0.210384663,0.675527345,0.475350409
cg24576535,0.028261629,0.142289391,0.243711986,0.032651387,0.127794858,0.036588024,0.019799557,0.039225806,0.015938377
cg24960291,0.568205935,0.534144059,0.542236125,0.575623055,0.568827984,0.544292733,0.525310091,0.840437061,0.542800195
cg27364650,0.541068414,0.5308982,0.520017778,0.544164837,0.227940469,0.0821827,0.058621878,0.115274353,0.170928643
cg00236919,0.226221311,0.261196361,0.28259264,0.439417381,0.551863433,0.515378401,0.529461792,0.529437503,0.533227564
cg01096266,0.416971473,0.266163064,0.292076467,0.395814803,0.488569778,0.450263028,0.510278926,0.478793707,0.481377275
cg01883540,0.903905324,0.872813722,0.863842511,0.893289752,0.300644311,0.155617767,0.050500009,0.09951607,0.081877449
cg02136252,0.594929673,0.610256932,0.621611806,0.592492929,0.316658934,0.245593049,0.183596602,0.569576111,0.142945918
cg02170478,0.110636703,0.366795943,0.432859614,0.175078652,0.236686397,0.096356778,0.075952628,0.074949517,0.100396989
cg02754929,0.394609488,0.211256968,0.227298658,0.13905776,0.436116457,0.387307604,0.452408392,0.409392639,0.451030871
cg03238216,0.899003622,0.819246216,0.824119071,0.849704167,0.247957565,0.148530865,0.123793324,0.139275339,0.168561998
cg03313172,0.807893814,0.793557433,0.787570654,0.602809038,0.597666696,0.603852235,0.618801633,0.5406826,0.582783315
cg03315557,0.60181638,0.523012597,0.476844081,0.524719855,0.259968873,0.182822162,0.136949164,0.193886561,0.044627628
cg03463411,0.394066237,0.446307296,0.442194296,0.415351879,0.507423776,0.4341349,0.44305445,0.421295589,0.448541981
