Name,chr_hg19,CG_position_hg19,strand_hg19,C_position_hg19,chr_hg38,CG_position_hg38,strand_hg38,C_position_hg38,Illumina_Type,Illumina_Islands_Name,Illumina_Relation_to_Island,Illumina_UCSC_RefGene_Name,Illumina_UCSC_RefGene_Accession,Illumina_UCSC_RefGene_Group,Illumina_Regulatory_Feature_Group,GencodeBasicV12_NAME,GencodeBasicV12_Accession,GencodeBasicV12_Group,GencodeCompV12_NAME,GencodeCompV12_Accession,GencodeCompV12_Group,Array_450k,Array_EPIC.v1,Array_Methyl27_Loci,Array_EPIC.v2
cg05129477,chr1,21044945,+,21044945,chr1,20718452.0,+,20718452.0,II,chr1:21043832-21044771,S_Shore,KIF17;KIF17,NM_020816;NM_001122819,TSS1500;TSS1500,,KIF17;KIF17;KIF17,ENST00000375044.1;ENST00000400463.3;ENST00000247986.2,TSS1500;TSS1500;TSS1500,KIF17;KIF17;KIF17,ENST00000375044.1;ENST00000400463.3;ENST00000247986.2,TSS1500;TSS1500;TSS1500,True,True,,1.0
cg07981328,chr1,21724633,+,21724633,chr1,21398140.0,+,21398140.0,I,,OpenSea,,,,,PPP1R11P1,ENST00000537790.1,5'UTR,PPP1R11P1,ENST00000537790.1,5'UTR,True,True,,1.0
cg24792360,chr1,24195143,+,24195143,chr1,23868653.0,+,23868653.0,II,chr1:24194254-24194990,S_Shore,FUCA1,NM_000147,TSS1500,Promoter_Associated,FUCA1;FUCA1,ENST00000374475.3;ENST00000374479.3,TSS1500;TSS1500,FUCA1;FUCA1,ENST00000374475.3;ENST00000374479.3,TSS1500;TSS1500,True,True,True,1.0
cg16585234,chr1,25944802,+,25944802,chr1,25618311.0,+,25618311.0,II,chr1:25942661-25943191,S_Shore,MAN1C1,NM_020379,1stExon,,MAN1C1;MAN1C1;MAN1C1;MAN1C1,ENST00000374331.5;ENST00000263979.3;ENST00000374331.5;ENST00000263979.3,1stExon;1stExon;5'UTR;5'UTR,MAN1C1;MAN1C1;MAN1C1;MAN1C1,ENST00000374331.5;ENST00000263979.3;ENST00000374331.5;ENST00000263979.3,1stExon;1stExon;5'UTR;5'UTR,True,True,,1.0
cg01811796,chr1,26233565,+,26233565,chr1,25907074.0,+,25907074.0,II,chr1:26231950-26233624,Island,STMN1;STMN1;STMN1;STMN1,NM_005563;NM_203401;NM_001145454;NM_203399,TSS1500;TSS1500;TSS1500;TSS200,,STMN1;STMN1;STMN1;STMN1,ENST00000399728.1;ENST00000465604.1;ENST00000426559.2;ENST00000357865.2,TSS1500;TSS1500;TSS1500;TSS200,STMN1;STMN1;STMN1;STMN1,ENST00000399728.1;ENST00000465604.1;ENST00000426559.2;ENST00000357865.2,TSS1500;TSS1500;TSS1500;TSS200,True,True,,1.0
cg08134856,chr1,26233709,+,26233709,chr1,25907218.0,+,25907218.0,II,chr1:26231950-26233624,S_Shore,STMN1;STMN1;STMN1;STMN1,NM_005563;NM_203399;NM_203401;NM_001145454,TSS1500;TSS1500;TSS1500;TSS1500,,STMN1;STMN1;STMN1;STMN1,ENST00000399728.1;ENST00000465604.1;ENST00000426559.2;ENST00000357865.2,TSS1500;TSS1500;TSS1500;TSS1500,STMN1;STMN1;STMN1;STMN1,ENST00000399728.1;ENST00000465604.1;ENST00000426559.2;ENST00000357865.2,TSS1500;TSS1500;TSS1500;TSS1500,True,True,,1.0
cg01815720,chr1,31277948,+,31277948,chr1,30805101.0,+,30805101.0,II,chr1:31280121-31280512,N_Shelf,,,,,,,,,,,True,True,,1.0
cg21151355,chr1,35246607,+,35246607,chr1,34781006.0,+,34781006.0,II,chr1:35246876-35247599,N_Shore,GJB3;GJB3,NM_024009;NM_001005752,TSS200;TSS1500,,GJB3;GJB3;RP1-34M23.5,ENST00000373362.3;ENST00000373366.2;ENST00000542839.1,TSS1500;TSS200;3'UTR,GJB3;GJB3;RP1-34M23.5,ENST00000373362.3;ENST00000373366.2;ENST00000542839.1,TSS1500;TSS200;3'UTR,True,True,True,1.0
cg18931815,chr1,36565772,+,36565772,chr1,36100171.0,+,36100171.0,II,,OpenSea,COL8A2,NM_005202,1stExon,Unclassified,COL8A2;COL8A2,ENST00000481785.1;ENST00000303143.4,5'UTR;1stExon,COL8A2;COL8A2,ENST00000481785.1;ENST00000303143.4,5'UTR;1stExon,True,True,True,1.0
cg14076729,chr1,38126628,+,38126628,chr1,37660956.0,+,37660956.0,II,,OpenSea,,,,,,,,,,,True,True,,1.0
cg14523898,chr1,38220138,+,38220138,chr1,37754466.0,+,37754466.0,II,chr1:38218190-38218977,S_Shore,EPHA10,NM_001099439,Body,,EPHA10;EPHA10,ENST00000446149.2;ENST00000330210.7,3'UTR;5'UTR,EPHA10;EPHA10;EPHA10,ENST00000525749.1;ENST00000446149.2;ENST00000330210.7,TSS1500;3'UTR;5'UTR,True,True,,1.0
cg02851558,chr1,38260988,+,38260988,chr1,37795316.0,+,37795316.0,II,chr1:38259095-38260427,S_Shore,MANEAL;MANEAL;MANEAL,NM_001113482;NM_001031740;NM_152496,Body;Body;TSS200,,MANEAL;MANEAL,ENST00000525897.1;ENST00000329006.5,TSS200;TSS200,MANEAL;MANEAL,ENST00000525897.1;ENST00000329006.5,TSS200;TSS200,True,True,,1.0
cg09847153,chr1,38461540,+,38461540,chr1,37995868.0,+,37995868.0,II,chr1:38461584-38461988,N_Shore,,,,,,,,,,,True,True,,1.0
cg12051614,chr1,40205236,+,40205236,chr1,39739564.0,+,39739564.0,II,chr1:40204312-40204739,S_Shore,PPIE;PPIE;PPIE,NM_203457;NM_006112;NM_203456,5'UTR;Body;Body,,PPIE,ENST00000480169.1,5'UTR,PPIE;PPIE;PPIE;PPIE;PPIE;PPIE,ENST00000470018.1;ENST00000485507.1;ENST00000456578.2;ENST00000482751.1;ENST00000497370.1;ENST00000480169.1,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR,True,True,,1.0
cg15986668,chr1,41156730,+,41156730,chr1,40691058.0,+,40691058.0,II,chr1:41157162-41157975,N_Shore,NFYC;NFYC;NFYC;LOC100130557;NFYC;NFYC,NM_001142587;NM_001142589;NM_001142588;NR_024567;NM_014223;NM_001142590,TSS1500;TSS1500;TSS1500;Body;TSS1500;TSS1500,,NFYC;NFYC;NFYC;NFYC;NFYC;NFYC;NFYC,ENST00000427410.2;ENST00000447388.3;ENST00000425457.2;ENST00000456393.2;ENST00000372655.2;ENST00000372654.1;ENST00000372653.1,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500,NFYC;NFYC;NFYC;NFYC;NFYC;NFYC;NFYC;NFYC;NFYC;NFYC;NFYC;NFYC,ENST00000467203.1;ENST00000424419.2;ENST00000427410.2;ENST00000447388.3;ENST00000425457.2;ENST00000453631.1;ENST00000456393.2;ENST00000372655.2;ENST00000372654.1;ENST00000534399.1;ENST00000372653.1;ENST00000372669.4,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500,True,True,,1.0
cg18174678,chr1,42801761,+,42801761,chr1,42336090.0,+,42336090.0,II,chr1:42800265-42801370,S_Shore,FOXJ3,NM_014947,TSS1500,,FOXJ3;RP11-223A3.1;FOXJ3;FOXJ3,ENST00000372572.1;ENST00000436207.1;ENST00000361346.1;ENST00000372573.1,TSS1500;3'UTR;TSS1500;TSS1500,FOXJ3;RP11-223A3.1;FOXJ3;FOXJ3;FOXJ3,ENST00000372572.1;ENST00000436207.1;ENST00000445886.1;ENST00000361346.1;ENST00000372573.1,TSS1500;3'UTR;TSS1500;TSS1500;TSS1500,True,True,,1.0
cg08706567,chr1,43814983,+,43814983,chr1,43349312.0,+,43349312.0,II,chr1:43814305-43815277,Island,MPL,NM_005373,Body,Unclassified_Cell_type_specific,,,,,,,True,True,,1.0
cg16342298,chr1,47902085,+,47902085,chr1,47436413.0,+,47436413.0,II,chr1:47902793-47905518,N_Shore,FOXD2;FOXD2,NM_004474;NM_004474,1stExon;5'UTR,Promoter_Associated,FOXD2;FOXD2,ENST00000334793.5;ENST00000334793.5,5'UTR;1stExon,FOXD2;FOXD2,ENST00000334793.5;ENST00000334793.5,5'UTR;1stExon,True,True,,1.0
cg17428085,chr1,47915008,+,47915008,chr1,47449336.0,+,47449336.0,II,chr1:47915639-47915952,N_Shore,,,,,,,,,,,True,True,,1.0
cg06320401,chr1,48176755,+,48176755,chr1,47711083.0,+,47711083.0,I,chr1:48174494-48176519,S_Shore,,,,Unclassified,,,,,,,True,True,,1.0
cg17742781,chr1,50834056,+,50834056,chr1,50368384.0,+,50368384.0,II,,OpenSea,,,,Unclassified,,,,,,,True,True,,1.0
cg15546227,chr1,61546247,+,61546247,chr1,61080575.0,+,61080575.0,II,chr1:61548753-61549564,N_Shelf,NFIA;NFIA,NM_001145511;NM_001145512,Body;TSS1500,,NFIA,ENST00000371189.3,TSS1500,NFIA;NFIA;NFIA,ENST00000479364.1;ENST00000371189.3;ENST00000476646.1,TSS1500;TSS1500;5'UTR,True,True,,1.0
cg25189904,chr1,68299493,+,68299493,chr1,67833810.0,+,67833810.0,II,chr1:68298371-68299315,S_Shore,GNG12,NM_018841,TSS1500,,GNG12;GNG12;RP11-518D3.1,ENST00000494936.1;ENST00000370982.3;ENST00000420587.1,TSS1500;TSS1500;5'UTR,GNG12;GNG12;RP11-518D3.1;RP11-518D3.1,ENST00000494936.1;ENST00000370982.3;ENST00000541803.1;ENST00000413628.1,TSS1500;TSS1500;5'UTR;5'UTR,True,True,,1.0
cg17083209,chr1,82274574,+,82274574,chr1,81808889.0,+,81808889.0,II,,OpenSea,LPHN2,NM_012302,5'UTR,,LPHN2;LPHN2;LPHN2;LPHN2,ENST00000319517.6;ENST00000359929.2;ENST00000370725.1;ENST00000469377.1,5'UTR;5'UTR;5'UTR;5'UTR,LPHN2;LPHN2;LPHN2;LPHN2,ENST00000319517.6;ENST00000359929.2;ENST00000370721.1;ENST00000469377.1,5'UTR;5'UTR;5'UTR;5'UTR,True,True,,1.0
cg24724587,chr1,86044103,+,86044103,chr1,85578420.0,+,85578420.0,II,chr1:86042229-86042935,S_Shore,DDAH1,NM_001134445,TSS200,Unclassified,DDAH1;DDAH1,ENST00000483110.1;ENST00000535924.1,TSS200;TSS200,DDAH1;DDAH1;DDAH1,ENST00000483110.1;ENST00000467530.1;ENST00000535924.1,TSS200;TSS1500;TSS200,True,True,,1.0
cg10593400,chr1,86044176,+,86044176,chr1,85578493.0,+,85578493.0,II,chr1:86042229-86042935,S_Shore,DDAH1,NM_001134445,TSS200,Unclassified,DDAH1;DDAH1,ENST00000535924.1;ENST00000483110.1,TSS200;TSS1500,DDAH1;DDAH1;DDAH1,ENST00000467530.1;ENST00000535924.1;ENST00000483110.1,TSS1500;TSS200;TSS1500,True,True,,1.0
cg17108141,chr1,86044230,+,86044230,chr1,85578547.0,+,85578547.0,II,chr1:86042229-86042935,S_Shore,DDAH1,NM_001134445,TSS200,Unclassified,DDAH1;DDAH1,ENST00000535924.1;ENST00000483110.1,TSS200;TSS1500,DDAH1;DDAH1;DDAH1,ENST00000467530.1;ENST00000535924.1;ENST00000483110.1,TSS1500;TSS200;TSS1500,True,True,,1.0
cg23627354,chr1,89459658,+,89459658,chr1,88993975.0,+,88993975.0,II,chr1:89458034-89458604,S_Shore,CCBL2;CCBL2;RBMXL1;RBMXL1,NM_001008661;NM_001008662;NM_001162536;NM_019610,TSS1500;TSS1500;TSS1500;TSS1500,,CCBL2;RBMXL1;RBMXL1;CCBL2;CCBL2;RBMXL1,ENST00000370485.2;ENST00000413769.1;ENST00000321792.5;ENST00000370491.3;ENST00000260508.4;ENST00000399794.2,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500,CCBL2;RBMXL1;RBMXL1;CCBL2;CCBL2;CCBL2;RBMXL1,ENST00000370485.2;ENST00000413769.1;ENST00000321792.5;ENST00000370491.3;ENST00000260508.4;ENST00000370486.1;ENST00000399794.2,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500,True,True,,0.0
cg26523099,chr1,109655203,+,109655203,chr1,109112581.0,+,109112581.0,II,chr1:109656095-109656611,N_Shore,C1orf194;KIAA1324,NM_001122961;NM_020775,Body;TSS1500,Unclassified,KIAA1324,ENST00000369939.3,TSS1500,C1orf194;KIAA1324;KIAA1324;KIAA1324;KIAA1324;KIAA1324,ENST00000369942.2;ENST00000533147.1;ENST00000531664.1;ENST00000534476.1;ENST00000526264.1;ENST00000369939.3,3'UTR;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500,True,True,,1.0
cg22374525,chr1,116370764,+,116370764,chr1,115828143.0,+,115828143.0,II,chr1:116370810-116371303,N_Shore,,,,,,,,,,,True,True,,1.0
cg09815769,chr1,119539738,+,119539738,chr1,118997115.0,+,118997115.0,II,chr1:119543056-119543454,N_Shelf,,,,,,,,,,,True,True,,1.0
cg26050734,chr1,151689032,+,151689032,chr1,151716556.0,+,151716556.0,II,,OpenSea,TNRC4;TNRC4,NM_007185;NM_007185,5'UTR;1stExon,Unclassified_Cell_type_specific,CELF3;CELF3;CELF3;AL589765.1,ENST00000290583.4;ENST00000290583.4;ENST00000290585.4;ENST00000442233.2,1stExon;5'UTR;TSS1500;3'UTR,CELF3;CELF3;CELF3;CELF3;CELF3;AL589765.1,ENST00000290583.4;ENST00000290583.4;ENST00000479893.1;ENST00000290585.4;ENST00000478829.1;ENST00000442233.2,1stExon;5'UTR;TSS1500;TSS1500;3'UTR;3'UTR,True,True,True,1.0
cg01963297,chr1,154841980,+,154841980,chr1,154869504.0,+,154869504.0,II,,OpenSea,KCNN3,NM_002249,1stExon,Unclassified_Cell_type_specific,KCNN3;KCNN3,ENST00000358505.2;ENST00000271915.3,TSS1500;1stExon,KCNN3;KCNN3,ENST00000358505.2;ENST00000271915.3,TSS1500;1stExon,True,True,,1.0
cg09037777,chr1,155265378,+,155265378,chr1,155295587.0,+,155295587.0,II,chr1:155264318-155265536,Island,PKLR;PKLR,NM_000298;NM_181871,Body;Body,,PKLR,ENST00000423816.1,ExonBnd,PKLR;PKLR,ENST00000434082.2;ENST00000423816.1,3'UTR;ExonBnd,True,True,,1.0
cg19321979,chr1,156610966,+,156610966,chr1,156641174.0,+,156641174.0,II,chr1:156611639-156612447,N_Shore,BCAN;BCAN,NM_198427;NM_021948,TSS1500;TSS1500,,BCAN;BCAN;BCAN,ENST00000255029.6;ENST00000329117.4;ENST00000361588.5,TSS1500;TSS1500;TSS1500,BCAN;BCAN;BCAN;BCAN;BCAN;BCAN;BCAN,ENST00000441358.1;ENST00000255029.6;ENST00000329117.4;ENST00000457777.1;ENST00000424639.1;ENST00000479949.1;ENST00000361588.5,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500,True,True,,1.0
cg04843111,chr1,156617074,+,156617074,chr1,156647282.0,+,156647282.0,II,chr1:156616553-156616946,S_Shore,BCAN;BCAN,NM_198427;NM_021948,Body;Body,,RP11-284F21.7,ENST00000448869.1,3'UTR,BCAN;BCAN;RP11-284F21.7,ENST00000491823.1;ENST00000479949.1;ENST00000448869.1,5'UTR;5'UTR;3'UTR,True,True,,1.0
cg03390245,chr1,156819061,+,156819061,chr1,156849269.0,+,156849269.0,II,chr1:156818622-156819192,Island,NTRK1;INSRR,NM_001007792;NM_014215,Body;Body,Unclassified_Cell_type_specific,,,,NTRK1;NTRK1,ENST00000489021.2;ENST00000530298.1,5'UTR;5'UTR,True,True,,1.0
cg04415780,chr1,156819191,+,156819191,chr1,156849399.0,+,156849399.0,II,chr1:156818622-156819192,Island,NTRK1;INSRR,NM_001007792;NM_014215,Body;Body,Unclassified_Cell_type_specific,,,,NTRK1;NTRK1,ENST00000489021.2;ENST00000530298.1,5'UTR;5'UTR,True,True,,1.0
cg10963061,chr1,158147729,+,158147729,chr1,158177939.0,+,158177939.0,I,chr1:158147433-158147854,Island,,,,,,,,,,,True,True,,1.0
cg05843457,chr1,158147849,+,158147849,chr1,158178059.0,+,158178059.0,II,chr1:158147433-158147854,Island,,,,,,,,,,,True,True,,1.0
cg24509168,chr1,160051356,+,160051356,chr1,160081566.0,+,160081566.0,II,chr1:160053721-160054738,N_Shelf,KCNJ9,NM_004983,TSS200,,KCNJ9,ENST00000368088.3,TSS200,KCNJ9,ENST00000368088.3,TSS200,True,True,,1.0
cg13229857,chr1,200006247,+,200006247,chr1,200037119.0,+,200037119.0,II,chr1:200004474-200004933,S_Shore,NR5A2;NR5A2,NM_205860;NM_003822,Body;Body,,,,,NR5A2,ENST00000474307.1,3'UTR,True,True,,1.0
cg06775570,chr1,201857621,+,201857621,chr1,201888493.0,+,201888493.0,II,,OpenSea,SHISA4;SHISA4,NM_198149;NR_030775,TSS200;TSS200,Unclassified_Cell_type_specific,SHISA4;SHISA4,ENST00000362011.6;ENST00000464117.1,TSS1500;TSS200,SHISA4;SHISA4;SHISA4,ENST00000362011.6;ENST00000481699.1;ENST00000464117.1,TSS1500;TSS1500;TSS200,True,True,,1.0
cg16029875,chr1,204320179,+,204320179,chr1,204351051.0,+,204351051.0,I,,OpenSea,PLEKHA6,NM_014935,5'UTR,,PLEKHA6,ENST00000272203.2,5'UTR,PLEKHA6;PLEKHA6,ENST00000272203.2;ENST00000564627.1,5'UTR;3'UTR,True,True,,0.0
cg18438591,chr1,205473341,+,205473341,chr1,205504213.0,+,205504213.0,II,chr1:205473877-205474109,N_Shore,CDK18;CDK18;CDK18,NM_212502;NM_212503;NM_002596,TSS1500;TSS1500;TSS1500,Unclassified_Cell_type_specific,CDK18;CDK18;CDK18,ENST00000429964.2;ENST00000506784.1;ENST00000360066.2,TSS1500;TSS1500;TSS1500,CDK18;CDK18;CDK18;CDK18;CDK18;CDK18;CDK18;CDK18;CDK18;CDK18;CDK18,ENST00000429964.2;ENST00000512922.1;ENST00000504648.1;ENST00000506784.1;ENST00000360066.2;ENST00000507067.1;ENST00000462976.1;ENST00000478560.1;ENST00000443813.2;ENST00000506215.1;ENST00000419301.1,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500,True,True,,1.0
cg26354017,chr1,205819088,+,205819088,chr1,205849960.0,+,205849960.0,I,chr1:205818898-205819191,Island,PM20D1,NM_152491,1stExon,Unclassified_Cell_type_specific,PM20D1;PM20D1;PM20D1,ENST00000367136.4;ENST00000460624.1;ENST00000460624.1,1stExon;1stExon;3'UTR,PM20D1;PM20D1;PM20D1,ENST00000367136.4;ENST00000460624.1;ENST00000460624.1,1stExon;1stExon;3'UTR,True,True,,0.0
cg14159672,chr1,205819179,+,205819179,chr1,205850051.0,+,205850051.0,II,chr1:205818898-205819191,Island,PM20D1,NM_152491,1stExon,Unclassified_Cell_type_specific,PM20D1;PM20D1;PM20D1,ENST00000367136.4;ENST00000460624.1;ENST00000460624.1,1stExon;1stExon;3'UTR,PM20D1;PM20D1;PM20D1,ENST00000367136.4;ENST00000460624.1;ENST00000460624.1,1stExon;1stExon;3'UTR,True,True,True,1.0
cg18086868,chr1,220463627,+,220463627,chr1,220290285.0,+,220290285.0,II,,OpenSea,,,,,,,,,,,True,True,,1.0
cg13986762,chr1,220960934,+,220960934,chr1,220787592.0,+,220787592.0,II,chr1:220960016-220960603,S_Shore,MOSC1,NM_022746,Body,,,,,,,,True,True,,0.0
cg20704450,chr1,228658371,+,228658371,chr1,228470670.0,+,228470670.0,II,chr1:228658937-228659152,N_Shore,,,,,,,,,,,True,True,,1.0
cg01730064,chr1,235362916,+,235362916,chr1,235199601.0,+,235199601.0,II,,OpenSea,ARID4B;ARID4B,NM_031371;NM_016374,Body;Body,,,,,ARID4B;ARID4B,ENST00000471257.1;ENST00000491632.1,3'UTR;3'UTR,True,True,,1.0
cg26536593,chr1,247242539,+,247242539,chr1,247079237.0,+,247079237.0,II,chr1:247241579-247242201,S_Shore,ZNF670,NM_033213,TSS1500,Promoter_Associated,ZNF670,ENST00000366503.2,TSS1500,ZNF670;ZNF670;ZNF670,ENST00000465049.2;ENST00000366503.2;ENST00000474541.1,TSS1500;TSS1500;TSS1500,True,True,,1.0
cg12726839,chr1,845311,-,845312,chr1,909931.0,-,909932.0,II,chr1:844299-845883,Island,,,,,,,,,,,True,True,,0.0
cg24598973,chr1,969825,-,969826,chr1,1034445.0,-,1034446.0,II,chr1:967966-970238,Island,AGRN,NM_198576,Body,Unclassified_Cell_type_specific,,,,AGRN;AGRN;AGRN,ENST00000469403.1;ENST00000477585.1;ENST00000477585.1,TSS1500;1stExon;5'UTR,True,True,,1.0
cg18224942,chr1,1225781,-,1225782,chr1,1290401.0,-,1290402.0,II,chr1:1228780-1230163,N_Shelf,SCNN1D;SCNN1D,NM_001130413;NM_002978,Body;Body,Unclassified,SCNN1D,ENST00000379110.4,ExonBnd,SCNN1D;SCNN1D,ENST00000379101.4;ENST00000379110.4,3'UTR;ExonBnd,True,True,,1.0
cg24557048,chr1,2063799,-,2063800,chr1,2132360.0,-,2132361.0,II,chr1:2063782-2064052,Island,PRKCZ;PRKCZ;PRKCZ,NM_001033582;NM_002744;NM_001033581,5'UTR;Body;5'UTR,Promoter_Associated,PRKCZ;PRKCZ,ENST00000400921.2;ENST00000400920.1,5'UTR;5'UTR,PRKCZ;PRKCZ;PRKCZ;PRKCZ;PRKCZ;PRKCZ;PRKCZ;PRKCZ;PRKCZ;PRKCZ;PRKCZ,ENST00000466651.1;ENST00000400921.2;ENST00000495347.1;ENST00000461465.1;ENST00000470596.1;ENST00000496325.1;ENST00000482686.1;ENST00000486681.1;ENST00000470986.1;ENST00000470511.1;ENST00000471018.2,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;TSS1500,True,True,,1.0
cg01894875,chr1,2121521,-,2121522,chr1,2190082.0,-,2190083.0,II,chr1:2121017-2121818,Island,C1orf86;LOC100128003;C1orf86,NM_001146310;NR_024445;NM_182533,Body;Body;Body,Promoter_Associated,C1orf86;C1orf86,ENST00000400919.3;ENST00000487186.1,5'UTR;3'UTR,C1orf86;C1orf86;C1orf86;C1orf86;C1orf86;C1orf86;C1orf86,ENST00000428120.1;ENST00000400919.3;ENST00000476803.1;ENST00000440825.2;ENST00000469733.1;ENST00000401813.3;ENST00000487186.1,3'UTR;5'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR,True,True,,1.0
cg23656015,chr1,5025174,-,5025175,chr1,4965114.0,-,4965115.0,II,,OpenSea,,,,,,,,,,,True,True,,0.0
cg08808724,chr1,9555113,-,9555114,chr1,9495054.0,-,9495055.0,II,chr1:9555379-9555652,N_Shore,,,,Unclassified,,,,,,,True,True,,0.0
